통계표,계정항목,단위,가중치,변환,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
4.2.1. 소비자물가지수,게,2020=100,0.9,원자료,95.7,96.78,94.75,95.55,96.27,96.85,98.1,97.54,97.3,94.98,94.37,94.79,96.6
4.2.1. 소비자물가지수,굴,2020=100,0.4,원자료,143.2,130.12,125.29,115.67,116.04,115.95,117.72,117.07,117.56,116.7,114.46,127.6,135.07
4.2.1. 소비자물가지수,조개,2020=100,0.6,원자료,120.02,120.86,120.21,118.71,118.02,116.38,115.81,114.49,115.57,116.22,117.92,120.81,124.91
4.2.1. 소비자물가지수,전복,2020=100,0.5,원자료,94.27,92.61,93.2,90.41,90.14,87.66,88.94,87.85,86.8,86.78,86.25,85.27,86.82
4.2.1. 소비자물가지수,새우,2020=100,0.7,원자료,115.86,119.82,122.32,122.48,122.28,122.3,123.39,121.94,122.47,124.47,123.84,121.49,122.56
4.2.1. 소비자물가지수,마른멸치,2020=100,0.5,원자료,111.63,110.73,111.4,111.09,110.82,111.73,110.85,111.18,110.99,111.39,110.92,110.57,110.71
4.2.1. 소비자물가지수,마른오징어,2020=100,0.2,원자료,122.48,122.31,123.62,124.37,124.28,124.72,125.25,126.7,125.64,125.65,124.27,124.71,124.95
4.2.1. 소비자물가지수,낙지,2020=100,0.5,원자료,113.61,114.8,115.13,115.4,115.77,114.28,116.25,117.68,118.71,119.09,118.67,119.37,120.33
4.2.1. 소비자물가지수,오징어채,2020=100,0.2,원자료,120.79,124.01,131.84,144.8,151.54,157.05,157.2,154.09,152.82,152.19,150.69,149.91,150.18
4.2.1. 소비자물가지수,북어채,2020=100,0.4,원자료,118.66,118.15,118.36,119.3,119.31,117.17,119.6,119.25,120.6,120.69,120.11,125.56,131.78
4.2.1. 소비자물가지수,어묵,2020=100,0.8,원자료,124.2,126,127.79,124.24,124.49,129.82,130.52,130.83,128.38,129.91,128.74,126.67,127.75
4.2.1. 소비자물가지수,맛살,2020=100,0.2,원자료,135.62,135.76,132.49,136.63,139.13,139.83,142.99,143.26,141.36,141.93,138.96,142.72,143.62
4.2.1. 소비자물가지수,수산물통조림,2020=100,0.7,원자료,121.99,122.43,122.56,122.4,122.97,123.78,123.6,123.37,122.77,123.76,124.09,124,123.64
4.2.1. 소비자물가지수,젓갈,2020=100,0.7,원자료,104.77,106.99,107.35,110.57,111.24,112.42,113.4,114.19,114.73,115,115.2,113.76,113.08
4.2.1. 소비자물가지수,"우유, 치즈 및 계란",2020=100,9.6,원자료,126.91,126.6,126.39,126,127.17,128.69,130.33,131.2,131.16,131.67,131.12,130.98,130.96
4.2.1. 소비자물가지수,우유,2020=100,3.4,원자료,124.07,123.96,124.11,123.61,124.12,124.11,124.25,124.19,124.36,124.34,124.41,124.23,124.26
4.2.1. 소비자물가지수,분유,2020=100,0.5,원자료,109.15,108.91,109.6,109.69,109.63,109.67,113.97,112.34,111.83,111.47,111.44,112.59,114.01
4.2.1. 소비자물가지수,치즈,2020=100,0.7,원자료,139.47,141.07,139.97,140.63,137.48,141.33,143.9,142.33,142.91,143.17,144.46,145.28,145.3
4.2.1. 소비자물가지수,발효유,2020=100,2,원자료,124.04,123.65,123.38,123.19,122.63,125.35,126.74,128.91,127.83,129.41,127.93,127.5,127.83
4.2.1. 소비자물가지수,달걀,2020=100,3,원자료,134.37,133.29,132.71,131.93,136.98,139.36,142.49,144.79,145.31,145.9,144.62,144.25,143.52
4.2.1. 소비자물가지수,식용유지,2020=100,1.4,원자료,168.5,166.74,168.22,165.62,166.21,161.76,159.86,156.09,158.49,159,155.5,157.5,153.67
4.2.1. 소비자물가지수,참기름,2020=100,0.6,원자료,152.92,152.82,152.53,150.95,152.41,151.53,150.63,151.44,151.95,150.73,149.44,151.86,152.16
4.2.1. 소비자물가지수,식용유,2020=100,0.8,원자료,181.25,177.92,181.08,177.52,177.28,169.49,166.63,158.54,162.72,164.87,159.31,160.88,153.16
4.2.1. 소비자물가지수,과일,2020=100,15.6,원자료,140.04,145.64,153.4,157.51,154.02,147.98,146.92,149.38,154.33,148.13,146,137.04,147.2
4.2.1. 소비자물가지수,사과,2020=100,2.3,원자료,133.29,146.96,160.01,165.91,167.2,167.81,169.5,172.93,179.5,166.57,161.61,160.73,159.36
4.2.1. 소비자물가지수,배,2020=100,0.7,원자료,154.22,177,188.44,190.06,191.32,182.17,178.05,169.04,153.34,132.03,133.78,127.46,128.88
4.2.1. 소비자물가지수,복숭아,2020=100,1,원자료,136.63,141.93,150.12,151.52,148.41,141.48,139.82,152.36,158.58,162.68,161.17,150.2,148.67
4.2.1. 소비자물가지수,포도,2020=100,1.4,원자료,125.02,125.85,125.44,126.95,117,111.85,112.75,145.19,149.4,132.63,127.53,127.26,128.25
4.2.1. 소비자물가지수,밤,2020=100,0.2,원자료,115.64,113.69,115,115.98,116.84,117.78,117.73,117.81,118.28,115.62,111.17,111.52,111.97
4.2.1. 소비자물가지수,감,2020=100,0.5,원자료,106.34,112.06,116.51,122.12,121.59,121.29,122.4,123.21,123.03,122.8,129.64,107.18,109.01
4.2.1. 소비자물가지수,귤,2020=100,1.8,원자료,170.13,202.55,260.26,285.5,279.54,266.58,263.71,262.07,271.44,259.37,249.96,205.05,195.9
4.2.1. 소비자물가지수,오렌지,2020=100,0.4,원자료,104.22,134.92,132.76,119,109.97,110.38,110.12,109.38,113.17,108.2,107.26,99.86,98.96
4.2.1. 소비자물가지수,참외,2020=100,1,원자료,95.2,98.63,103.39,151.82,159.41,110.2,105.9,91.23,103.3,98.78,98.7,92.5,91.73
4.2.1. 소비자물가지수,수박,2020=100,1,원자료,138.86,144.18,152.44,153.71,150.58,153.25,138.06,154.87,176.93,169.66,168.1,156.46,155
4.2.1. 소비자물가지수,딸기,2020=100,1.5,원자료,217.32,191.02,161.58,130.95,106.59,102.73,101.54,100.99,104.51,99.75,98.75,91.96,198.38
4.2.1. 소비자물가지수,바나나,2020=100,0.8,원자료,105.79,100.78,107.99,112.59,116.73,115.53,117.34,112.69,109.27,114.13,115.6,111.61,112.24
4.2.1. 소비자물가지수,키위,2020=100,0.4,원자료,116.26,116.62,119.75,120.47,123.33,125.09,126.19,125.07,127.65,129.93,133.63,136.35,137.44
4.2.1. 소비자물가지수,블루베리,2020=100,0.4,원자료,134.61,134.82,135.15,134.56,135.45,136.43,135.86,135.39,136.49,137.53,139.39,141.49,142.43
4.2.1. 소비자물가지수,망고,2020=100,0.4,원자료,122.18,121.62,109.91,92.17,86.45,85.18,86.46,93.23,106.03,128.16,129.68,129.73,130.96
4.2.1. 소비자물가지수,체리,2020=100,0.3,원자료,135.8,117.08,98.89,99.87,97.79,93.11,115.63,87.63,84.49,80.83,80.11,74.61,117.14
4.2.1. 소비자물가지수,아보카도,2020=100,0.1,원자료,109.03,106.98,111.89,121.97,121.95,105.75,106.63,94.17,89.18,92.96,95.39,92.4,98.66
4.2.1. 소비자물가지수,파인애플,2020=100,0.2,원자료,113.88,115.76,121.51,121.72,121.83,125,124.57,122.03,121.75,132.35,136.88,125.23,124.07
